$\mu$,$\sigma$,h1_error,r2_int,r2_noint,rmse_int,rmse_noint
-15.97,3.3,28.793370786774886,0.9593177437884278,0.9577268801506769,8.291862061189953,8.452432358162696
17.62,4.03,48.64118882135047,-0.07562618975675095,-0.08323341769121617,39.21233844635223,39.35075625308644
0.13,2.14,113.21065651550548,-0.49015989228268686,-0.49566918995632014,13.553715895986691,13.578747627757656
7.41,2.62,28.893239065655678,0.9691425069272445,0.9647378051712512,4.173925789371719,4.4618922001167975
-7.62,2.88,133.8644346463778,-2.1264563666941494,-2.1236193409716506,35.29041730281168,35.274401959396165
-6.03,4.22,26.8327709505691,0.7598172736299109,0.7597987723835506,47.26040385503929,47.26222405158379
-5.48,3.54,27.166957912798942,0.9135364875063443,0.9123604463121429,18.798577986937932,18.925991463252295
-1.41,5.0,20.515008074959454,0.988675478496817,0.9882357455369291,21.791328023815048,22.210379165274688
-16.58,4.83,60.128615999836754,0.5895950305369957,0.5887441165231664,70.9957305405136,71.06929200479523
-2.08,3.11,31.905485882682292,0.5447494124588717,0.5410978015535581,9.40804516491308,9.44570124477559
-3.52,4.72,13.704624303560305,0.9903398937670549,0.9898987579702384,18.40770309022787,18.823311880054163
